normalized_page_path,impact_score,effort_score,quick_win_score,reason_code,gsc_impressions,gsc_position,ga4_sessions,ga4_conversions,recommended_action,recommended_action_text
/blog/cameron-diaz-and-benji-madden,6619.790872891124,3.0,2206.5969576303746,high_impressions_low_ctr,20971.0,3.6404558676267227,114.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/priyanka-chopra-chooses-surrogacy,6178.526885788602,3.0,2059.508961929534,high_impressions_low_ctr,19764.0,5.135397692774742,114.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/cristiano-ronaldo-296,3594.5801658604005,3.0,1198.1933886201334,high_impressions_low_ctr,10862.0,4.262935002761923,202.0,1.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/why-did-paris-hilton-use-a-surrogate,2701.5708708350717,3.0,900.5236236116906,high_impressions_low_ctr,8156.0,4.1140264835703775,21.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/egg-retrieval-after-hysterectomy,2116.752164219913,3.0,705.5840547399711,high_impressions_low_ctr,6483.0,7.333950331636588,75.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/nicole-kidman-and-keith-urban,1971.2358367508275,3.0,657.0786122502758,high_impressions_low_ctr,5613.0,3.605736682700873,32.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/,1947.1317349832432,3.0,649.0439116610811,high_impressions_low_ctr,5656.0,10.973125884016973,448.0,26.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/two-sons,1582.1941941879918,3.0,527.3980647293306,high_impressions_low_ctr,4330.0,3.7272517321016165,29.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/jimmy-fallon,1481.6296063851557,3.0,493.87653546171856,high_impressions_low_ctr,4017.0,3.6492407269106297,5.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/emma-weymouth,1421.2950559619283,3.0,473.7650186539761,high_impressions_low_ctr,3589.0,3.161604903872945,59.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/ukraine-surrogacy-cost-breakdown-2026,1350.2785766036895,3.0,450.0928588678965,high_impressions_low_ctr,3782.0,4.744315177154944,15.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/nj-couple,334.7333333333333,1.0,334.7333333333333,no_data,4.0,3.0,0.0,0.0,no_action,No action until more reliable data is available.
/blog/foods-that-increase-your-fertility,1000.3,3.0,333.43333333333334,no_data,1.0,1.0,0.0,0.0,no_action,No action until more reliable data is available.
/blog/ireland-pr-bringing-the-opportunity-for-surrogacy-in-ukraine-to-irish-couples,1000.3,3.0,333.43333333333334,no_data,1.0,1.0,0.0,0.0,no_action,No action until more reliable data is available.
/media/k2/items/cache/2d535442c2c0b0669d8f5a051ed00bcc_L.jpg,1000.3,3.0,333.43333333333334,no_data,1.0,1.0,0.0,0.0,no_action,No action until more reliable data is available.
/surrogacy-articles/28-sitemap,1000.3,3.0,333.43333333333334,no_data,1.0,1.0,0.0,0.0,no_action,No action until more reliable data is available.
/deutsch,320.8824027072758,1.0,320.8824027072758,underperforming_content,727.0,13.00687757909216,63.0,5.0,expand,Expand the content to better satisfy search intent.
/blog/surrogacy-in-ghana-for-single-men,915.6582357533177,3.0,305.21941191777256,high_impressions_low_ctr,2290.0,4.475109170305677,12.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/average-weight-and-growth-chart-for-babies-toddlers-and-kids,1181.9037948181103,4.0,295.4759487045276,high_impressions_low_ctr,3353.0,5.697882493289591,1.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/egg-retrieval-after-hysterectomy,880.2974743359947,3.0,293.43249144533155,high_impressions_low_ctr,2421.0,7.604708798017348,75.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/a-story-of-love-and-family,872.2820934124449,3.0,290.76069780414826,high_impressions_low_ctr,2299.0,5.7181383210091346,17.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/egg-retrieval-after-hysterectomy,838.0416075650118,3.0,279.34720252167057,high_impressions_low_ctr,2289.0,7.761467889908257,75.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/baby-names-that-mean-love,826.7093757343151,3.0,275.56979191143836,high_impressions_low_ctr,2182.0,5.851054078826764,2.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/egg-retrieval-after-hysterectomy,809.6325093588448,3.0,269.8775031196149,high_impressions_low_ctr,2190.0,7.6844748858447485,75.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/through-surrogacy-ricky-martin,1059.2907621247114,4.0,264.82269053117784,high_impressions_low_ctr,2494.0,3.4723336006415395,47.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/surrogacy-market-outlook-2026,779.2400082491235,3.0,259.7466694163745,high_impressions_low_ctr,2280.0,10.633771929824562,4.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/egg-retrieval-after-hysterectomy,763.2715957181977,3.0,254.42386523939922,high_impressions_low_ctr,2045.0,7.8572127139364305,75.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/egg-retrieval-after-hysterectomy,760.0080052575577,3.0,253.33600175251922,high_impressions_low_ctr,2034.0,7.854965585054081,75.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/the-real-talk-on-having-a-baby-after-35,1000.6,4.0,250.15,no_data,1.0,1.0,1.0,0.0,no_action,No action until more reliable data is available.
/surrogate-and-ivf-programs-for-irish-couples,1000.6,4.0,250.15,no_data,1.0,1.0,1.0,0.0,no_action,No action until more reliable data is available.
/blog/traveling-to-ukraine-for-surrogacy,726.9881260407326,3.0,242.32937534691087,high_impressions_low_ctr,1687.0,4.627741553052756,10.0,2.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/surrogacy-and-ivf-in-islam,606.5536743092298,3.0,202.1845581030766,high_impressions_low_ctr,1616.0,8.42079207920792,6.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/can-blood-type-affect-your-surrogacy-journey-what-you-need-to-know,583.1826302729528,3.0,194.39421009098427,high_impressions_low_ctr,1362.0,5.91776798825257,12.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/gender-selection-myths-science-and-you,581.8816479400749,3.0,193.9605493133583,high_impressions_low_ctr,1088.0,3.926470588235294,2.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/will-my-baby-look-like-me-using-donor-eggs,573.4085174768984,3.0,191.13617249229947,high_impressions_low_ctr,1141.0,4.362839614373357,5.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/key-supplements-to-enhance-female-fertility,553.4998044965787,3.0,184.4999348321929,high_impressions_low_ctr,1112.0,4.599820143884893,5.0,1.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/being-a-surrogate-for-a-family-member,552.3409298575652,3.0,184.1136432858551,high_impressions_low_ctr,1558.0,11.941591784338897,2.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/artificial-activization-with-calcium-ionophore,545.1745974790689,3.0,181.7248658263563,high_impressions_low_ctr,1379.0,7.881798404641044,14.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/cristiano-ronaldo-296,542.3151515151516,3.0,180.7717171717172,high_impressions_low_ctr,1100.0,6.6,202.0,1.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/cristiano-ronaldo-296,523.5793524566884,3.0,174.52645081889614,high_impressions_low_ctr,1047.0,6.725883476599809,202.0,1.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/who-is-surrogate-mother,1040.7824252323728,6.0,173.4637375387288,high_impressions_low_ctr,3379.0,38.048239124001185,2.0,0.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/what-is-hcg-pregnancy-test,517.6714285714286,3.0,172.55714285714285,no_data,297.0,2.333333333333333,0.0,0.0,no_action,No action until more reliable data is available.
/us,502.6384798099763,3.0,167.54615993665877,high_impressions_low_ctr,1461.0,17.28952772073922,15.0,3.0,rewrite,Rewrite title and meta description to improve CTR.
/blog/what-sets-us-apart-client-convenience,500.9,3.0,166.96666666666667,no_data,3.0,2.0,0.0,0.0,no_action,No action until more reliable data is available.
/blog/pcos-everything-you-need-to-know-about-polycystic-ovary-syndrome,500.3,3.0,166.76666666666668,no_data,1.0,2.0,0.0,0.0,no_action,No action until more reliable data is available.
